NU_INSCRICAO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10052E+11;M;GO;E;E;B;B;4;G;A;C;D;C;A;B;A;B;A;B;A;A;B;A;B;D;A;A;B
2,10054E+11;F;GO;B;B;B;A;2;B;B;A;B;A;C;D;B;A;C;C;A;B;A;A;A;B;B;A;B
2,10054E+11;M;GO;E;E;B;B;5;F;A;C;D;B;B;B;B;B;A;B;A;A;B;A;A;D;B;A;B
2,10054E+11;M;GO;H;H;D;F;6;M;A;D;D;B;B;B;B;B;A;B;A;B;D;A;B;D;A;C;B
2,10054E+11;M;GO;B;C;B;B;6;B;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10053E+11;M;GO;B;B;A;A;2;B;A;B;C;A;A;B;B;B;B;A;A;A;B;B;A;B;A;B;B
2,10052E+11;F;GO;C;C;B;B;3;B;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;B;B;A;B
2,10053E+11;M;GO;B;D;C;B;5;B;A;B;D;B;A;B;A;B;A;A;A;A;B;A;A;C;A;A;A
2,10054E+11;F;GO;B;C;D;D;3;H;A;C;D;B;A;B;B;B;B;B;A;B;C;A;B;D;A;B;B
2,10054E+11;F;GO;C;E;C;C;5;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10052E+11;F;GO;E;E;C;C;4;C;B;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;F;F;E;D;3;I;A;C;C;B;A;B;B;B;A;B;A;A;B;B;A;E;A;C;B
2,10052E+11;F;GO;H;H;C;F;2;D;B;B;C;A;A;B;B;B;B;B;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;F;E;D;D;5;D;A;C;E;C;B;B;A;B;A;B;A;B;B;A;A;E;A;C;B
2,10054E+11;F;GO;E;E;D;B;3;F;A;C;D;B;A;B;B;B;A;A;A;A;B;A;B;D;A;A;B
2,10051E+11;F;GO;C;B;C;F;3;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;B;C;A;B;4;B;A;B;C;A;A;B;B;B;B;B;A;A;B;A;A;E;A;A;B
2,10053E+11;M;GO;D;C;A;B;4;I;A;C;D;C;B;B;B;B;A;B;A;B;B;A;A;D;A;A;B
2,10054E+11;F;GO;E;G;D;D;3;F;A;C;D;B;B;B;B;B;B;B;A;A;B;A;A;D;A;B;B
2,10052E+11;M;GO;E;D;F;F;3;D;A;B;D;B;A;B;A;B;A;A;A;A;B;A;B;C;A;A;B
2,10051E+11;M;GO;B;B;C;B;5;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;B;B
2,10051E+11;M;GO;E;E;F;B;4;F;A;C;C;B;A;B;A;B;A;B;A;A;C;A;A;E;A;C;B
2,10053E+11;F;GO;B;B;A;A;6;B;A;B;C;A;B;B;B;A;A;A;A;A;B;A;A;B;A;A;A
2,10052E+11;F;GO;D;E;C;B;3;A;A;C;D;A;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10053E+11;F;GO;C;G;A;A;7;E;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;F;GO;E;E;B;C;3;D;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;B;E;B;B;5;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10051E+11;M;GO;B;D;A;B;4;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;C;D;A;B;4;C;A;C;D;C;A;B;A;B;A;B;A;A;B;A;A;E;A;B;B
2,10051E+11;M;GO;E;E;D;B;5;C;A;B;C;B;A;B;B;B;A;A;A;B;C;A;A;D;A;A;B
2,10051E+11;M;GO;H;D;F;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,10052E+11;M;GO;D;C;C;B;4;D;A;C;D;B;C;B;B;B;A;A;A;A;B;A;A;B;A;A;B
2,10053E+11;M;GO;E;E;C;B;4;D;A;B;D;B;C;B;B;B;B;B;A;A;A;A;A;E;A;C;B
2,10051E+11;M;GO;D;E;C;B;4;C;A;C;C;B;B;B;A;A;A;B;A;A;B;A;A;A;A;B;B
2,10051E+11;M;GO;C;B;C;B;7;C;A;B;E;C;B;B;A;B;B;B;A;A;D;B;A;E;A;A;B
2,10053E+11;M;GO;H;D;C;B;4;D;A;C;D;A;B;B;A;A;A;A;A;A;B;B;B;E;A;B;B
2,10051E+11;M;GO;H;H;F;B;3;C;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;B;A;B;B
2,10051E+11;F;GO;E;E;A;B;4;C;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;D;E;C;B;4;B;A;C;D;B;A;B;B;B;A;B;A;A;B;A;B;D;A;B;B
2,10052E+11;F;GO;C;D;B;B;4;C;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,10054E+11;M;GO;E;E;C;B;4;A;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10054E+11;M;GO;C;D;C;B;4;D;A;B;D;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;M;GO;D;G;F;E;5;H;D;C;D;C;A;B;B;B;A;B;A;A;C;A;A;E;B;C;B
2,10052E+11;F;GO;B;E;C;B;4;E;A;B;C;A;A;B;B;A;A;A;A;A;B;B;A;B;A;B;B
2,10054E+11;F;GO;D;C;A;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;C;D;A;A;3;B;A;B;D;B;A;B;B;A;A;A;A;A;B;A;A;D;A;B;B
2,10054E+11;F;GO;E;D;A;B;4;B;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
2,10054E+11;F;GO;E;F;D;C;4;D;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;D;A;A;B
2,10051E+11;F;GO;C;C;A;B;4;D;A;B;D;B;A;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10052E+11;M;GO;C;E;C;B;3;E;A;B;C;B;B;B;B;A;A;B;A;A;C;A;A;D;A;A;B
2,10053E+11;F;GO;D;D;A;A;4;D;A;B;D;B;A;C;B;A;A;A;A;A;B;B;A;D;A;A;B
2,10054E+11;F;GO;H;E;F;F;8;B;A;B;A;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
2,10052E+11;F;GO;B;C;A;A;4;A;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B
2,10053E+11;F;GO;B;D;A;A;4;B;A;B;C;B;B;B;A;B;A;B;A;A;B;B;A;D;A;B;B
2,10052E+11;F;GO;C;B;C;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10053E+11;F;GO;G;G;D;D;3;D;A;C;D;B;B;B;B;B;B;A;A;B;A;A;A;D;B;C;B
2,10053E+11;F;GO;C;D;A;A;3;B;A;D;C;B;A;B;B;A;A;B;A;A;B;B;A;B;A;A;B
2,10052E+11;M;GO;C;E;C;B;3;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;M;GO;D;D;C;B;6;E;A;B;C;A;A;B;A;B;A;A;A;A;B;B;A;D;A;A;B
2,10052E+11;F;GO;C;E;C;C;3;B;A;B;B;A;B;B;B;B;A;B;A;A;B;A;A;D;A;B;B
2,10053E+11;F;GO;B;E;F;B;4;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
2,10053E+11;F;GO;H;E;F;C;4;B;A;B;C;B;B;B;A;A;A;B;A;A;B;A;A;D;A;A;B
